id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365
1036325030871129984,323-1 Spacious 2BR Williamsburg,162280872,Urban Furnished,Brooklyn,Williamsburg,Entire home/apt,228.0,30.0,1,364
1036373982586690048,Manhattan Stay! Explore NYC from Murray Hill Base,501999514,RoomPicks,Manhattan,Murray Hill,Private room,526.0,1.0,1,301
1036374813343209984,Enjoy Urban Oasis Near Rockefeller Center!,501999514,RoomPicks,Manhattan,Murray Hill,Private room,238.0,1.0,0,250
1042137021674700032,317-1B Modern 1Br UES W/D,162280872,Urban Furnished,Manhattan,Upper East Side,Entire home/apt,306.0,30.0,0,327
1042247884743219968,NEW Private Small Studio-Bohemian Oasis,29358602,Lillyvllc,Manhattan,Harlem,Private room,114.0,30.0,2,364
1042877228869100032,! Hamilton Suite. private. 2bdrm + 2bth + kitchen,238750007,Hamilton,Manhattan,Harlem,Entire home/apt,117.0,30.0,0,364
1042899831256460032,Studio in Manhattan for one person,95957782,Tamara,Manhattan,Harlem,Entire home/apt,170.0,30.0,0,268
1043030167024240000,A Dazzling Destination,516308566,Warren,Brooklyn,Brownsville,Entire home/apt,176.0,30.0,0,360
1043428512128550016,luxury one bedroom -golden Horn,336581747,Matt,Manhattan,Midtown,Entire home/apt,340.0,30.0,3,175
1043603895706680064,Newly Finished Luxury Oasis in Trendy Brooklyn,108356654,Latanya,Brooklyn,Flatlands,Entire home/apt,272.0,2.0,122,301
1043635645246380032,4 Bed 2 Bath Apartment in the Financial District,550403525,Alberto,Manhattan,Financial District,Entire home/apt,397.0,2.0,66,212
1043748005274690048,"The Wallace, Executive One Bedroom Suite",547422647,,Manhattan,Upper West Side,Private room,409.0,1.0,0,319
1043748007895350016,"The Wallace, Hudson Penthouse One Bedroom Suite",547422647,,Manhattan,Upper West Side,Private room,409.0,1.0,0,228
1043748314335949952,"The Wallace, Superior Queen",547422647,,Manhattan,Upper West Side,Private room,309.0,1.0,0,345
1043748319187779968,"The Wallace, Superior King Accessible",547422647,,Manhattan,Upper West Side,Private room,519.0,1.0,1,332
1043748544487289984,"The Wallace, Junior Queen Suite",547422647,,Manhattan,Upper West Side,Private room,509.0,1.0,0,343
1043748549960969984,"The Wallace, One Bedroom King Suite",547422647,,Manhattan,Upper West Side,Private room,409.0,1.0,0,355
1043748746630659968,"The Wallace, Deluxe King",547422647,,Manhattan,Upper West Side,Private room,309.0,1.0,0,318
1043748763612320000,"The Wallace, Curated art and decorative marble ...",547422647,,Manhattan,Upper West Side,Private room,309.0,1.0,0,350
1043748971089750016,"The Wallace, Superior Double Queen Accessible",547422647,,Manhattan,Upper West Side,Private room,569.0,1.0,0,299
1043748975652800000,"The Wallace, Superior King",547422647,,Manhattan,Upper West Side,Private room,409.0,1.0,1,348
1043749180047369984,"The Wallace, Superior Double Queen",547422647,,Manhattan,Upper West Side,Private room,309.0,1.0,0,280
1043749194049500032,"The Wallace, Junior King Suite",547422647,,Manhattan,Upper West Side,Private room,749.0,1.0,0,316
1043749403725110016,"The Wallace, One Bedroom Queen Suite",547422647,,Manhattan,Upper West Side,Private room,569.0,1.0,0,349
